temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
20.94,28,1014,3.09,50,540.73,1.05,6.43,95.84,4.23,23.68,47.38,9.75,2,75.0,44.0,75.0,Multan,30.1575,71.5249
20.94,28,1014,3.09,50,707.63,1.54,12.51,82.25,3.76,30.49,55.87,12.54,3,90.0,51.0,90.0,Multan,30.1575,71.5249
20.94,28,1014,2.06,360,894.55,0.92,21.93,66.52,3.87,36.26,63.74,15.2,3,103.0,55.0,103.0,Multan,30.1575,71.5249
18.94,39,1015,0.0,0,1068.12,0.03,30.16,50.78,3.99,41.83,72.1,17.73,3,117.0,59.0,117.0,Multan,30.1575,71.5249
16.94,51,1016,0.0,0,1308.44,0.01,37.7,37.19,4.47,52.37,86.83,21.28,4,143.0,67.0,143.0,Multan,30.1575,71.5249
14.94,58,1016,0.0,0,1522.06,0.05,42.16,27.54,4.89,64.73,103.85,24.07,4,156.0,75.0,156.0,Multan,30.1575,71.5249
13.94,62,1017,0.0,0,1562.12,0.09,39.76,22.53,4.53,72.1,113.9,25.33,4,160.0,80.0,160.0,Multan,30.1575,71.5249
10.94,62,1017,0.0,0,1508.71,0.11,34.27,20.56,4.05,74.74,117.7,24.07,4,161.0,82.0,161.0,Multan,30.1575,71.5249
9.94,76,1017,0.0,0,1401.9,0.13,29.47,19.13,3.25,71.41,113.44,17.99,4,159.0,80.0,159.0,Multan,30.1575,71.5249
8.94,76,1017,0.0,0,1201.63,0.07,23.65,20.21,2.15,60.36,97.73,11.02,4,154.0,72.0,154.0,Multan,30.1575,71.5249
7.94,81,1017,0.0,0,1028.06,0.04,18.68,23.25,1.74,50.95,84.13,7.66,4,139.0,65.0,139.0,Multan,30.1575,71.5249
7.94,76,1017,0.0,0,907.9,0.02,14.91,26.82,1.55,45.58,76.78,5.89,3,126.0,62.0,126.0,Multan,30.1575,71.5249
7.94,76,1017,0.0,0,827.79,0.01,12.68,30.04,1.43,42.21,72.13,4.81,3,118.0,59.0,118.0,Multan,30.1575,71.5249
11.14,21,1017,3.07,343,787.73,0.01,11.48,33.26,1.39,40.24,68.65,4.94,3,113.0,58.0,113.0,Multan,30.1575,71.5249
6.94,81,1017,0.0,0,754.36,0.0,10.97,37.19,1.4,38.01,64.21,5.32,3,107.0,56.0,107.0,Multan,30.1575,71.5249
6.94,81,1017,0.0,0,754.36,0.0,10.97,37.19,1.4,38.01,64.21,5.32,3,107.0,56.0,107.0,Multan,30.1575,71.5249
6.94,81,1017,0.0,0,754.36,0.0,10.97,37.19,1.4,38.01,64.21,5.32,3,107.0,56.0,107.0,Multan,30.1575,71.5249
6.94,81,1017,0.0,0,754.36,0.0,10.97,37.19,1.4,38.01,64.21,5.32,3,107.0,56.0,107.0,Multan,30.1575,71.5249
5.94,87,1018,0.0,0,727.65,0.0,11.14,42.2,1.49,36.07,61.1,5.89,3,102.0,54.0,102.0,Multan,30.1575,71.5249
21.7,16,1018,5.01,349,814.44,2.46,10.62,95.84,7.33,45.0,74.34,10.01,3,124.0,61.0,124.0,Multan,30.1575,71.5249
